city	area	population	kPopulation
Авдеевка	Донецкая	37900 	1.0
Александрия	Кировоградская	96900 	1.0
Александровск	Луганская	7300 	1.0
Александрополь	Днепропетровская	910 	1.0
Алексеевка	Днепропетровская	3600 	1.0
Алмазная	Луганская	5500 	1.0
Алупка	Крым	10300 	1.0
Алушта	Крым	34800 	1.0
Алчевск	Луганская	122000 	1.0
Амвросиевка	Донецкая	22700 	1.0
Ананьев	Одесская	9600 	1.0
Андреевка	Днепропетровская	753 	1.0
Андрушевка	Житомирская	11100 	1.0
Антонины	Хмельницкая	2401 	1.0
Антонов	Киевская	841 	1.0
Антрацит	Луганская	72800 	1.0
Апостолово	Днепропетровская	17500 	1.0
Армянск	Крым	24300 	1.0
Артемово	Донецкая	6600 	1.0
Артемовск	Луганская	9800 	1.0
Артемовск	Донецкая	90800 	1.0
Арциз	Одесская	19100 	1.0
Ахтырка	Сумская	52000 	1.0
Байрак	Полтавская	436 	1.0
Балаклея	Харьковская	30600 	1.0
Балта	Одесская	23100 	1.0
Банюнин	Львовская	750 	1.0
Бар	Винницкая	18600 	1.0
Барановка	Житомирская	12500 	1.0
Барвенково	Харьковская	11600 	1.0
Бартатов	Львовская	723 	1.0
Бахмач	Черниговская	21600 	1.0
Бахчисарай	Крым	27900 	1.0
Баштанка	Николаевская	14000 	1.0
Белая Церковь	Киевская	216000 	1.0
Белгород-Днестровский	Одесская	56800 	1.0
Белз	Львовская	2500 	1.0
Белицкое	Донецкая	10500 	1.0
Белогорск	Крым	17200 	1.0
Белозерское	Донецкая	19200 	1.0
Белополье	Сумская	18800 	1.0
Беляевка	Одесская	13300 	1.0
Бердичев	Житомирская	93400 	1.0
Бердянск	Запорожская	115476 	1.0
Бердянское	Запорожская	570 	1.0
Берегово	Закарпатская	28900 	1.0
Бережаны	Тернопольская	18100 	1.0
Березань	Киевская	15700 	1.0
Березовка	Одесская	12800 	1.0
Берёзовое	Днепропетровская	585 	1.0
Берестечко	Волынская	1800 	1.0
Берислав	Херсонская	16600 	1.0
Бертышев	Львовская	214 	1.0
Бершадь	Винницкая	14200 	1.0
Биевцы	Киевская	851 	1.0
Бобринец	Кировоградская	12800 	1.0
Бобрка	Львовская	4400 	1.0
Бобровица	Черниговская	11900 	1.0
Богодухов	Харьковская	16400 	1.0
Богуслав	Днепропетровская	3880 	1.0
Богуслав	Киевская	18800 	1.0
Болград	Одесская	17300 	1.0
Болехов	Ивано-Франковская	11200 	1.0
Борзна	Черниговская	12200 	1.0
Борислав	Львовская	40400 	1.0
Борисполь	Киевская	52000 	1.0
Борщев	Тернопольская	12100 	1.0
Боярка	Киевская	37600 	1.0
Брагиновка	Днепропетровская	1073 	1.0
Брагиновка	Днепропетровская	676 	1.0
Бровары	Киевская	84800 	1.0
Броды	Львовская	24600 	1.0
Брошнив-Осада	Ивано-Франковская	5760 	1.0
Брянка	Луганская	56400 	1.0
Бузуков	Черкасская	653 	1.0
Бурштын	Ивано-Франковская	16100 	1.0
Бурынь	Сумская	11400 	1.0
Буск	Львовская	8500 	1.0
Буча	Киевская	43000 	1.0
Бучач	Тернопольская	14200 	1.0
Бышев	Киевская	2873 	1.0
Валки	Харьковская	10700 	1.0
Варваровка	Днепропетровская	623 	1.0
Васильевка	Запорожская	16500 	1.0
Васильков	Киевская	39100 	1.0
Ватутино	Черкасская	19300 	1.0
Вахрушево	Луганская	15400 	1.0
Вашковцы	Черновицкая	5800 	1.0
Великие Ерчики	Киевская	564 	1.0
Великие Мосты	Львовская	6100 	1.0
Великие Сорочинцы	Полтавская	3533 	1.0
Веремиевка	Черкасская	1862 	1.0
Верхнеднепровск	Днепропетровская	18600 	1.0
